DATE,PRECIPITATION,MAX_TEMP,MIN_TEMP,AVG_WIND_SPEED,DAY_OF_YEAR,MONTH,NDVI,EVI,LST_C,fire_last_7,TEMP_RANGE,SEASON,dryness,roll_precip_7,roll_wind_7,roll_temp_range_7,roll_ndvi_3,roll_evi_3
2026-02-19,0.437,55.58,43.16,16.84,50,2,0.1502,0.0665,49.37,0,12.420000000000002,0,38.373695198329855,0.437,16.84,12.420000000000002,0.1502,0.0665
2026-02-20,0.0,55.94,41.72,6.59,51,2,0.1502,0.0665,48.83,0,14.22,0,55.94,0.2185,11.715,13.32,0.1502,0.0665
2026-02-21,0.0,64.04,42.08,6.77,52,2,0.1502,0.0665,53.06,0,21.960000000000008,0,64.04,0.14566666666666667,10.066666666666666,16.200000000000003,0.1502,0.0665
2026-02-22,0.0,75.56,57.92,8.57,53,2,0.1502,0.0665,66.74000000000001,0,17.64,0,75.56,0.10925,9.692499999999999,16.560000000000002,0.1502,0.0665
2026-02-23,0.0,78.98,49.82,7.27,54,2,0.1003,0.0499,64.4,0,29.160000000000004,0,78.98,0.0874,9.208,19.080000000000002,0.13356666666666667,0.06096666666666667
2026-02-24,0.0,80.6,55.94,8.2,55,2,0.1003,0.0499,68.27,0,24.66,0,80.6,0.07283333333333333,9.04,20.01,0.11693333333333333,0.055433333333333334
2026-02-25,0.0,78.08,54.32,10.07,56,2,0.1003,0.0499,66.2,0,23.759999999999998,0,78.08,0.06242857142857143,9.187142857142858,20.54571428571429,0.1003,0.0499
