DATE,PRECIPITATION,MAX_TEMP,MIN_TEMP,AVG_WIND_SPEED,DAY_OF_YEAR,MONTH,NDVI,EVI,LST_C,fire_last_7,TEMP_RANGE,SEASON,dryness,roll_precip_7,roll_wind_7,roll_temp_range_7,roll_ndvi_3,roll_evi_3
2026-02-19,0.453,50.72,41.72,27.53,50,2,0.0531,0.0291,46.22,0,9.0,0,34.59532002752925,0.453,27.53,9.0,0.0531,0.0291
2026-02-20,0.0,51.98,39.56,6.84,51,2,0.0531,0.0291,45.77,0,12.419999999999996,0,51.98,0.2265,17.185000000000002,10.709999999999997,0.0531,0.0291
2026-02-21,0.0,56.66,44.06,12.12,52,2,0.0531,0.0291,50.36,0,12.599999999999994,0,56.66,0.151,15.496666666666668,11.339999999999996,0.0531,0.0291
2026-02-22,0.0,65.12,49.64,11.81,53,2,0.0531,0.0291,57.38,0,15.480000000000004,0,65.12,0.11325,14.575,12.374999999999998,0.0531,0.0291
2026-02-23,0.0,62.96,47.48,6.52,54,2,0.0476,0.0281,55.22,0,15.480000000000004,0,62.96,0.0906,12.963999999999999,12.996,0.05126666666666666,0.028766666666666666
2026-02-24,0.348,60.8,53.96,11.31,55,2,0.0476,0.0281,57.38,0,6.839999999999996,0,44.84569732937686,0.13349999999999998,12.688333333333333,11.969999999999999,0.04943333333333333,0.028433333333333335
2026-02-25,0.0,65.84,49.1,8.45,56,2,0.0476,0.0281,57.47,0,16.740000000000002,0,65.84,0.11442857142857142,12.082857142857142,12.651428571428571,0.0476,0.0281
